"Unit type ","Unit ","Floor ","Street number ","Street alpha ","Street name ","Street type ","Street direction ","Suburb ","Town/City ","Unit type 2","Unit 2","Floor 2","Street number 2","Street alpha 2","Street name 2","Street type 2","Street direction 2","Suburb 2","Town/City 2","Unit type 3","Unit 3","Floor 3","Street number 3","Street alpha 3","Street name 3","Street type 3","Street direction 3","Suburb 3","Town/City 3","Unit type 4","Unit 4","Floor 4","Street number 4","Street alpha 4","Street name 4","Street type 4","Street direction 4","Suburb 4","Town/City 4","Unit type 5","Unit 5","Floor 5","Street number 5","Street alpha 5","Street name 5","Street type 5","Street direction 5","Suburb 5","Town/City 5","Unit type 6","Unit 6","Floor 6","Street number 6","Street alpha 6","Street name 6","Street type 6","Street direction 6","Suburb 6","Town/City 6","Unit type 7","Unit 7","Floor 7","Street number 7","Street alpha 7","Street name 7","Street type 7","Street direction 7","Suburb 7","Town/City 7","Unit type 8","Unit 8","Floor 8","Street number 8","Street alpha 8","Street name 8","Street type 8","Street direction 8","Suburb 8","Town/City 8","Unit type 9","Unit 9","Floor 9","Street number 9","Street alpha 9","Street name 9","Street type 9","Street direction 9","Suburb 9","Town/City 9","Common name 1","Common name 2","Common name 3","Common name 4","Common name 5","Common name 6","Common name 7","Common name 8","Common name 9","Common name 10","Notice type","Date of issue","Earthquake rating","Seismic work deadline","Priority building","Notice issued by","Heritage status","Area of seismic risk"
"","","","231","","High","Street","","Hutt Central","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","19/11/2018","Not determined","19/11/2033","No","Hutt City Council","","High"
"","","","205","","High","Street","","Hutt Central","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","27/04/2021","Not determined","27/04/2036","No","Hutt City Council","","High"
"","","","201","","Jackson","Street","","Petone","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201 Jackson Street ","","","","","","","","","","EPB notice","17/12/2025","Not determined","17/06/2036","Yes","Hutt City Council","","High"
"","","","20","","Tocker","Street","","Taita","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Super Save Supermarket","","","","","","","","","","EPB notice","26/04/2023","0% to less than 20%","26/04/2038","No","Hutt City Council","","High"
"","1-25","","41","","Barber","Grove","","Moera","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","19/05/2025","20% to less than 34%","19/05/2040","No","Hutt City Council","","High"
"FLAT","12","","2","","Waiwhetu","Road","","Waiwhetu","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Arcturus Flats 1-12","","","","","","","","","","EPB notice","11/10/2023","Not determined","11/10/2038","No","Hutt City Council","","High"
"","","","230","","Pages","Road","","Wainoni","Christchurch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","10/09/2026","0% to less than 20%","10/03/2034","Yes","Christchurch City Council","","High"
"","","","194","","High","Street","","Hutt Central","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194 High Street","","","","","","","","","","EPB notice","19/06/2023","20% to less than 34%","19/04/2038","No","Hutt City Council","","High"
"","","","184","","Jackson","Street","","Petone","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184 Jackson Street ","","","","","","","","","","EPB notice","20/06/2023","Not determined","20/06/2038","No","Hutt City Council","","High"
"","","","155","N","Jackson","Street","","Petone","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","20/06/2023","Not determined","20/06/2038","No","Hutt City Council","","High"
"","","","155","","Jackson","Street","","Petone","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155 Jackson Street","","","","","","","","","","EPB notice","20/06/2023","Not determined","20/06/2038","No","Hutt City Council","","High"
"","","","15","","Victoria","Street","","Petone","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15 Victoria Street ","","","","","","","","","","EPB notice","21/05/2024","20% to less than 34%","23/05/2039","No","Hutt City Council","","High"
"","","","143","","Jackson","Street","","Petone","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","20/06/2023","Not determined","20/06/2038","No","Hutt City Council","","High"
"","","","14","","Hunter","Street","","Taita","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14 Hunter  Street","","","","","","","","","","EPB notice","25/11/2024","20% to less than 34%","25/11/2039","No","Hutt City Council","","High"
"","","","14","","Hardy","Street","","Waterloo","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14 Hardy Street ","","","","","","","","","","EPB notice","19/06/2023","Not determined","19/06/2038","No","Hutt City Council","","High"
"","","","133","","Main","Road","","Wainuiomata","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133 Main Road","","","","","","","","","","EPB notice","27/07/2023","20% to less than 34%","27/07/2038","No","Hutt City Council","","High"
"","","","129","","Jackson","Street","","Petone","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","20/06/2023","Not determined","20/06/2038","No","Hutt City Council","","High"
"","","","100","","High Street ","","","HUTT CENTRAL ","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100 High Street","","","","","","","","","","EPB notice","19/06/2023","Not determined","19/06/2038","No","Hutt City Council","","High"
"FLAT","1","","45","","Colson","Street","","Avalon","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45 Colson Street ","","","","","","","","","","EPB notice","05/08/2022","Not determined","05/08/2037","No","Hutt City Council","","High"
"","","","336","","Cambridge","Terrace","","Naenae","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","336 Cambridge Terrace","","","","","","","","","","EPB notice","08/06/2026","Not determined","08/06/2045","No","Hutt City Council","","High"
"","","","298","","High","Street","","Hutt Central","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","298 High Street","","","","","","","","","","EPB notice","17/12/2025","Not determined","17/06/2036","Yes","Hutt City Council","","High"
"","","","262","","Jackson","Street","","Petone","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","262 Jackson Street","","","","","","","","","","EPB notice","16/12/2025","Not determined","16/06/2036","Yes","Hutt City Council","","High"
"","","","241","","Jackson","Street","","Petone","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","17/12/2025","Not determined","17/06/2036","Yes","Hutt City Council","","High"
"","","","19","A","Purnell","Street","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WHANGANUI JOCKEY CLUB ORIGINAL MEMBERS GRANDSTAND - Circa 1927","","","","","","","","","","EPB notice","19/08/2026","0% to less than 20%","19/08/2051","No","Whanganui District Council","","Medium"
"","","","19","A","Purnell","Street","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WHANGANUI JOCKEY CLUB CELEBRITY LOUNGE","","","","","","","","","","EPB notice","18/08/2026","0% to less than 20%","18/08/2051","No","Whanganui District Council","","Medium"
"","","","19","A","PURNELL","STREET","","","WHANGANUI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","17/08/2026","0% to less than 20%","17/08/2051","No","Whanganui District Council","","Medium"
"","","","207","","Ti Rakau","Drive","","Pakuranga Heights","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","24/07/2026","0% to less than 20%","24/07/2061","No","Auckland Council","","Low"
"Unit","B","","16","B","Vanguard","Street","","","Nelson","Unit","A","","16","A","Vanguard","Street","","","Nelson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bullion Motorcycles","Spikes Mechanical","","","","","","","","","EPB notice","14/08/2026","20% to less than 34%","31/10/2047","No","Nelson City Council","","Medium"
"","","","254","","Trafalgar","Street","","","Nelson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Page & Blackmore","","","","","","","","","","EPB notice","07/08/2026","20% to less than 34%","26/10/2047","No","Nelson City Council","","Medium"
"","","","515","","Main Road Stoke","","","Stoke","Nelson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","St Barnabas Anglican Church and Stone Chapel","","","","","","","","","","EPB notice","03/08/2026","Not determined","10/10/2047","No","Nelson City Council","Historic place category 2","Medium"
"","","","515","","Main","Road","","Stoke","Nelson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","St Barnabas Hall","","","","","","","","","","EPB notice","03/08/2026","0% to less than 20%","20/11/2046","No","Nelson City Council","","Medium"
"","","","112","","Guyton","Street","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ST PAULS PRESBYTERIAN CHURCH","","","","","","","","","","EPB notice","20/07/2026","0% to less than 20%","20/07/2051","No","Whanganui District Council","","Medium"
"","","","40","","Halifax","Street","","","Nelson","","","","42","","Halifax","Street","","","Nelson","","","","13","","New","Street","","","Nelson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Farm Products Building","","","","","","","","","","EPB notice","27/07/2026","20% to less than 34%","27/06/2046","No","Nelson City Council","","Medium"
"","","","53","","Hereford","Street","","Christchurch Central","Christchurch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","20/03/2026","0% to less than 20%","20/09/2033","Yes","Christchurch City Council","","High"
"","","","11","a","Owen","Street","","Newtown","Wellington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Building B","","","","","","","","","","EPB notice","17/07/2026","0% to less than 20%","18/02/2040","No","Wellington City Council","","High"
"","","","11","","Rutland","Street","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NATIVE LAND COURT & AOTEA MAORI LAND BUILDING - FORMER","","","","","","","","","","EPB notice","07/07/2026","Not determined","07/07/2051","No","Whanganui District Council","Historic place category 1","Medium"
"","","","21","","Ridgway","Street","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","07/07/2026","Not determined","07/07/2051","No","Whanganui District Council","","Medium"
"","","","30","","Drews","Avenue","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","06/07/2026","Not determined","06/07/2051","No","Whanganui District Council","Historic place category 2","Medium"
"","","","85","","Guyton","Street","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","02/07/2026","Not determined","02/07/2051","No","Whanganui District Council","","Medium"
"","","","23","","Drews","Avenue","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","01/07/2026","Not determined","01/07/2051","No","Whanganui District Council","","Medium"
"","","","134","","Guyton","Street","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","30/06/2026","20% to less than 34%","30/06/2051","No","Whanganui District Council","","Medium"
"","","","85","","Great King","Street","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","08/06/2026","Not determined","30/05/2061","No","Dunedin City Council","","Low"
"","","","212","","Balmacewen","Road","","Wakari","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","05/06/2026","Not determined","14/05/2061","No","Dunedin City Council","","Low"
"","","","7","","Kotua","Place","","Stoke","Nelson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pig Killing Building, Old Freezing Works complex","","","","","","","","","","EPB notice","06/07/2026","20% to less than 34%","14/08/2048","No","Nelson City Council","","Medium"
"","","","7","","Kotua","Place","","Stoke","Nelson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cooling Floor Building 5, Old Freezing Works complex","","","","","","","","","","EPB notice","20/07/2026","0% to less than 20%","31/07/2047","No","Nelson City Council","","Medium"
"","","","7","","Kotua","Place","","Stoke","Nelson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Coldstore Building 4, Old Freezing Works complex","","","","","","","","","","EPB notice","20/07/2026","20% to less than 34%","10/02/2046","No","Nelson City Council","","Medium"
"","","","7","","Kotua","Place","","Stoke","Nelson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Engine Room and Chimney, Building 3, Old Freezing Works complex","","","","","","","","","","EPB notice","06/07/2026","0% to less than 20%","10/02/2046","No","Nelson City Council","","Medium"
"","","","21","","Drews","Avenue","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","18/06/2026","Not determined","18/06/2051","No","Whanganui District Council","","Medium"
"","","","85","","Guyton","Street","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","17/06/2026","Not determined","17/06/2051","No","Whanganui District Council","","Medium"
"","","","13","","Mailer","Street","","Mornington","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","05/06/2026","Not determined","15/05/2061","No","Dunedin City Council","","Low"
"","","","99","A","Guyton","Street","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","15/06/2026","Not determined","15/12/2038","No","Whanganui District Council","","Medium"
"","","","269","","Brockville","Road","","Brockville","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","06/05/2026","Not determined","29/04/2061","No","Dunedin City Council","","Low"
"","","","309","","Kaikorai Valley","Road","","Bradford","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","06/05/2026","Not determined","29/04/2061","No","Dunedin City Council","","Low"
"","","","235","","King Edward","Street","","South Dunedin","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","08/04/2026","Not determined","01/03/2061","No","Dunedin City Council","Scheduled by the TA","Low"
"","","","79","","Crawford","Street","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","01/03/2026","Not determined","25/02/2061","No","Dunedin City Council","Within historic area","Low"
